id;nome;descricao;proficiencia_ferramentas;proficiencia_habilidades;proficiencia_armas;proficiencia_armaduras;nivel_minimo;nivel_maximo;habilidade_nivel_1;habilidade_nivel_5;habilidade_nivel_7;habilidade_nivel_9;habilidade_nivel_10;habilidade_nivel_14;habilidade_nivel_15;defesa_nivel_1;defesa_nivel_5;defesa_nivel_10;defesa_nivel_15
1;Alquimista;Alquimista em formação;Instrumentos de Alquimia;Instrução;;;1;15;Alquimista em Horas Vagas;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
2;Arma Arcana;Guerreiro que manifesta armas mágicas;;Acerto ou Luta;Adaga, Arco Longo, Bumerangue, Faca de Arremesso, Moro Kris, Pata, Rapieira e Sabre;;1;15;Invocação de Arma;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;+2;+3;+4
3;Assassino;Especialista em eliminação;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
4;Auspiciado;Favorito dos deuses;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
5;Avatar;Manifestação divina;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
6;Bárbaro;Guerreiro selvagem;;;;;1;15;Fúria Animalesca;Até Cair;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;+3;+4;+4
7;Bardo;Artista mágico;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;+1;+2;+3
8;Bestial;Conexão animal;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
9;Caçador Arcano;Caçador com magia;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
10;Caçador Sagrado;Caçador divino;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
11;Clérigo;Sacerdote divino;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
12;Druida;Guardião da natureza;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
13;Duelista;Mestre da esgrima;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
14;Eremita;Asceta solitário;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
15;Espião;Agente secreto;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
16;Espiritual;Místico espiritual;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
17;Estrategista;Mestre tático;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
18;Estudioso;Acadêmico especializado;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
19;Explorador;Desbravador;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
20;Guardião Natural;Protetor da natureza;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
21;Guardião Rúnico;Protetor mágico;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
22;Guerreiro;Combatente versátil;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
23;Guerreiro Rúnico;Combatente mágico;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
24;Herbalista;Especialista em plantas;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
25;Infiltrador;Especialista em infiltração;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
26;Inventor;Criador de dispositivos;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
27;Investigador;Detetive especializado;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
28;Jurado;Executor da justiça;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
29;Ladrão;Especialista em roubo;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
30;Mago;Especialista em magia;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
31;Marinheiro;Navegador experiente;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
32;Monge;Guerreiro asceta;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
33;Paladino;Guerreiro sagrado;;;;Escudos ou Proteções Pesadas;1;15;Punição Divina;Força Divina;Melhoria de Habilidade (Punição Divina +1d8);Melhoria de Habilidade (Punição Divina +1d10);Castigo ao Herege;Melhoria de Habilidade (Punição Divina +2d6);Forma do Paladino;0;+3;+3;+4
34;Protetor;Defensor especializado;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
35;Pugilista;Combatente desarmado;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
36;Pugnador Arcano;Combatente mágico;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
37;Ritualista;Especialista em rituais;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
38;Sacerdote;Líder religioso;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
39;Sentinela;Guarda vigilante;;;;;1;15;Habilidade de Classe 1;Habilidade de Classe 2;Melhoria de Habilidade;Melhoria de Habilidade;Habilidade de Classe 3;Melhoria de Habilidade;Habilidade de Classe 4;0;0;0;0
