id,ficha_personagem_id,nome,atributo,habilidade_id,alcance,dado_bonus,mod_bonus,custo_pp,created_at,updated_at
5001,1001,Espada Longa,FORCA,6,ADJACENTE,2,1,0,2025-01-10 10:00:00,2025-01-10 10:00:00
5002,1001,Adaga,AGILIDADE,6,ADJACENTE,0,0,0,2025-01-10 10:00:00,2025-01-10 10:00:00
5003,1002,Arco Longo,AGILIDADE,18,LONGO,1,2,0,2025-01-10 10:00:00,2025-01-10 10:00:00
5004,1002,Dardo,AGILIDADE,18,MEDIO,0,1,0,2025-01-10 10:00:00,2025-01-10 10:00:00
5005,1003,Machado de Guerra,FORCA,6,ADJACENTE,3,2,0,2025-01-10 14:15:00,2025-01-10 14:15:00
5006,1003,Punhal,AGILIDADE,6,ADJACENTE,0,0,0,2025-01-10 14:15:00,2025-01-10 14:15:00
5007,1004,Martelo de Guerra,FORCA,6,ADJACENTE,4,3,0,2025-01-10 16:45:00,2025-01-10 16:45:00
5008,1005,Cajado Mágico,MENTE,4,ADJACENTE,0,1,2,2025-01-10 18:20:00,2025-01-10 18:20:00
5009,1005,Dardo Mágico,MENTE,4,MEDIO,1,3,3,2025-01-10 18:20:00,2025-01-10 18:20:00
5010,1006,Espada Curta,AGILIDADE,6,ADJACENTE,1,1,0,2025-01-10 20:10:00,2025-01-10 20:10:00
5011,1006,Besta Leve,AGILIDADE,18,MEDIO,2,1,0,2025-01-10 20:10:00,2025-01-10 20:10:00
5012,1007,Clava Gigante,FORCA,6,ADJACENTE,5,4,0,2025-01-11 09:30:00,2025-01-11 09:30:00
5013,1008,Garras Naturais,FORCA,6,ADJACENTE,1,0,0,2025-01-11 13:45:00,2025-01-11 13:45:00
5014,1008,Mordida,FORCA,6,TOQUE,2,1,0,2025-01-11 13:45:00,2025-01-11 13:45:00
5015,1009,Bastão Sagrado,PRESENCA,3,ADJACENTE,1,2,1,2025-01-11 15:20:00,2025-01-11 15:20:00
5016,1009,Símbolo Sagrado,PRESENCA,3,CURTO,0,3,2,2025-01-11 15:20:00,2025-01-11 15:20:00
5017,1010,Arco Élfico,AGILIDADE,18,MUITO_LONGO,2,3,0,2025-01-11 17:30:00,2025-01-11 17:30:00
5018,1010,Espada Élfica,AGILIDADE,6,ADJACENTE,1,2,0,2025-01-11 17:30:00,2025-01-11 17:30:00
5019,1011,Machado Bárbaro,FORCA,6,ADJACENTE,4,2,0,2025-01-11 19:15:00,2025-01-11 19:15:00
5020,1011,Lança de Guerra,FORCA,6,ADJACENTE,3,1,0,2025-01-11 19:15:00,2025-01-11 19:15:00
5021,1012,Varinha de Ilusão,PRESENCA,13,MEDIO,0,2,3,2025-01-12 10:45:00,2025-01-12 10:45:00
5022,1013,Bordão Druida,PRESENCA,20,ADJACENTE,1,1,1,2025-01-12 14:20:00,2025-01-12 14:20:00
5023,1013,Funda,AGILIDADE,18,MEDIO,0,1,0,2025-01-12 14:20:00,2025-01-12 14:20:00
5024,1014,Mangual Pesado,FORCA,6,ADJACENTE,3,2,0,2025-01-12 16:10:00,2025-01-12 16:10:00
5025,1014,Martelo de Forja,FORCA,6,ADJACENTE,2,1,0,2025-01-12 16:10:00,2025-01-12 16:10:00
5026,1015,Lâmina Mental,MENTE,15,ADJACENTE,2,4,4,2025-01-12 18:35:00,2025-01-12 18:35:00
