id,carga_personagem_id,c_fisico,po_fisico,pp_fisico,c_banco,po_banco,pp_banco
8001,6001,150,25,35,500,100,200
8002,6002,80,15,20,250,50,150
8003,6003,200,40,60,800,150,300
8004,6004,120,30,45,600,120,250
8005,6005,50,10,15,200,30,100
8006,6006,90,18,25,350,70,180
8007,6007,300,80,120,1200,250,500
8008,6008,30,5,10,100,20,50
8009,6009,110,22,35,450,90,220
8010,6010,60,12,18,180,35,90
8011,6011,250,60,90,1000,200,400
8012,6012,70,14,22,280,55,140
8013,6013,140,28,42,520,105,260
8014,6014,180,45,70,720,145,360
8015,6015,95,19,28,380,75,190
