id,ataque_personagem_id,dado,mod,bonus,critico
9001,5001,1d8,3,1,19-20/x2
9002,5002,1d4,1,0,19-20/x2
9003,5003,1d8,4,2,20/x3
9004,5004,1d4,2,1,20/x2
9005,5005,1d12,5,2,20/x3
9006,5006,1d4,1,0,19-20/x2
9007,5007,1d10,6,3,20/x3
9008,5008,1d6,2,1,20/x2
9009,5009,1d4,4,3,20/x2
9010,5010,1d6,2,1,19-20/x2
9011,5011,1d8,3,1,19-20/x2
9012,5012,2d6,7,4,20/x2
9013,5013,1d4,2,0,20/x2
9014,5014,1d6,3,1,20/x2
9015,5015,1d6,3,2,20/x2
9016,5016,1d4,4,3,20/x2
9017,5017,1d8,5,3,19-20/x3
9018,5018,1d8,3,2,18-20/x2
9019,5019,1d12,6,2,20/x3
9020,5020,1d8,4,1,20/x3
9021,5021,1d4,3,2,20/x2
9022,5022,1d6,2,1,20/x2
9023,5023,1d4,2,1,20/x2
9024,5024,1d10,5,2,20/x2
9025,5025,1d8,3,1,20/x3
9026,5026,1d8,6,4,18-20/x2
