id;ficha_personagem_id;deslocamento;valor;bonus
1001;1001;ANDANDO;9;0
1002;1001;ESCALANDO;4;0
1003;1002;ANDANDO;12;0
1004;1002;ESCALANDO;6;0
1005;1002;VOANDO;18;0
1006;1003;ANDANDO;9;0
1007;1003;ESCALANDO;4;0
1008;1003;NADANDO;6;0
1009;1004;ANDANDO;6;0
1010;1004;ESCALANDO;6;0
1011;1004;ESCAVANDO;4;0
1012;1005;ANDANDO;9;0
1013;1005;ESCALANDO;4;0
1014;1005;VOANDO;15;0
1015;1006;ANDANDO;9;0
1016;1006;ESCALANDO;4;0
1017;1006;NADANDO;9;0
1018;1007;ANDANDO;12;0
1019;1007;ESCALANDO;6;0
1020;1007;ESCAVANDO;9;0
1021;1008;ANDANDO;9;0
1022;1008;ESCALANDO;4;0
1023;1008;VOANDO;12;0
1024;1009;ANDANDO;9;0
1025;1009;ESCALANDO;4;0
1026;1009;NADANDO;6;0
1027;1010;ANDANDO;6;0
1028;1010;ESCALANDO;6;0
1029;1010;VOANDO;18;0
1030;1011;ANDANDO;9;0
1031;1011;ESCALANDO;4;0
1032;1011;ESCAVANDO;6;0
1033;1012;ANDANDO;9;0
1034;1012;ESCALANDO;4;0
1035;1012;VOANDO;15;0
1036;1013;ANDANDO;9;0
1037;1013;ESCALANDO;4;0
1038;1013;NADANDO;9;0
1039;1014;ANDANDO;6;0
1040;1014;ESCALANDO;6;0
1041;1014;ESCAVANDO;4;0
1042;1015;ANDANDO;9;0
1043;1015;ESCALANDO;4;0
1044;1015;VOANDO;12;0
