id,ficha_personagem_id,particularidade_id
12001,1001,1
12002,1001,5
12003,1002,3
12004,1002,7
12005,1002,12
12006,1003,2
12007,1003,8
12008,1004,4
12009,1004,9
12010,1004,15
12011,1005,6
12012,1005,10
12013,1005,14
12014,1006,1
12015,1006,11
12016,1007,13
12017,1007,16
12018,1008,3
12019,1008,17
12020,1009,2
12021,1009,6
12022,1009,18
12023,1010,5
12024,1010,19
12025,1011,4
12026,1011,20
12027,1011,21
12028,1012,7
12029,1012,22
12030,1013,8
12031,1013,23
12032,1014,9
12033,1014,24
12034,1014,25
12035,1015,10
12036,1015,26
